"","latitude","longitude","month","snc"
"336",54.818735,-111.481618,12,0.901014539930556
"337",54.826068,-111.499294,1,0.9267578125
"338",54.826068,-111.499294,2,0.9267578125
"339",54.826068,-111.499294,3,0.9267578125
"340",54.826068,-111.499294,4,0.9267578125
"341",54.826068,-111.499294,5,0.9267578125
"342",54.826068,-111.499294,6,0.464237019833591
"343",54.826068,-111.499294,7,0.0257432725694444
"344",54.826068,-111.499294,8,0.0240824156337314
"345",54.826068,-111.499294,9,0.151885311326219
"346",54.826068,-111.499294,10,0.82129342854023
"347",54.826068,-111.499294,11,0.901014539930556
"348",54.826068,-111.499294,12,0.901014539930556
"349",54.822268,-111.443543,1,0.9267578125
"350",54.822268,-111.443543,2,0.9267578125
"351",54.822268,-111.443543,3,0.9267578125
"352",54.822268,-111.443543,4,0.9267578125
"353",54.822268,-111.443543,5,0.9267578125
"354",54.822268,-111.443543,6,0.464237019833591
"355",54.822268,-111.443543,7,0.0257432725694444
"356",54.822268,-111.443543,8,0.0240824156337314
"357",54.822268,-111.443543,9,0.151885311326219
"358",54.822268,-111.443543,10,0.82129342854023
"359",54.822268,-111.443543,11,0.901014539930556
"360",54.822268,-111.443543,12,0.901014539930556
"361",54.833872,-111.442908,1,0.9267578125
"362",54.833872,-111.442908,2,0.9267578125
"363",54.833872,-111.442908,3,0.9267578125
"364",54.833872,-111.442908,4,0.9267578125
"365",54.833872,-111.442908,5,0.9267578125
"366",54.833872,-111.442908,6,0.464237019833591
"367",54.833872,-111.442908,7,0.0257432725694444
"368",54.833872,-111.442908,8,0.0240824156337314
"369",54.833872,-111.442908,9,0.151885311326219
"370",54.833872,-111.442908,10,0.82129342854023
"371",54.833872,-111.442908,11,0.901014539930556
"372",54.833872,-111.442908,12,0.901014539930556
"373",54.841049,-111.507919,1,0.9267578125
"374",54.841049,-111.507919,2,0.9267578125
"375",54.841049,-111.507919,3,0.9267578125
"376",54.841049,-111.507919,4,0.9267578125
"377",54.841049,-111.507919,5,0.9267578125
"378",54.841049,-111.507919,6,0.464237019833591
"379",54.841049,-111.507919,7,0.0257432725694444
"380",54.841049,-111.507919,8,0.0240824156337314
"381",54.841049,-111.507919,9,0.151885311326219
"382",54.841049,-111.507919,10,0.82129342854023
"383",54.841049,-111.507919,11,0.901014539930556
"384",54.841049,-111.507919,12,0.901014539930556
"385",54.846186,-111.498063,1,0.9267578125
"386",54.846186,-111.498063,2,0.9267578125
"387",54.846186,-111.498063,3,0.9267578125
"388",54.846186,-111.498063,4,0.9267578125
"389",54.846186,-111.498063,5,0.9267578125
"390",54.846186,-111.498063,6,0.464237019833591
"391",54.846186,-111.498063,7,0.0257432725694444
"392",54.846186,-111.498063,8,0.0240824156337314
"393",54.846186,-111.498063,9,0.151885311326219
"394",54.846186,-111.498063,10,0.82129342854023
"395",54.846186,-111.498063,11,0.901014539930556
"396",54.846186,-111.498063,12,0.901014539930556
"397",54.845533,-111.479445,1,0.9267578125
"398",54.845533,-111.479445,2,0.9267578125
"399",54.845533,-111.479445,3,0.9267578125
"400",54.845533,-111.479445,4,0.9267578125
"401",54.845533,-111.479445,5,0.9267578125
"402",54.845533,-111.479445,6,0.464237019833591
"403",54.845533,-111.479445,7,0.0257432725694444
"404",54.845533,-111.479445,8,0.0240824156337314
"405",54.845533,-111.479445,9,0.151885311326219
"406",54.845533,-111.479445,10,0.82129342854023
"407",54.845533,-111.479445,11,0.901014539930556
"408",54.845533,-111.479445,12,0.901014539930556
"409",54.844251,-111.432993,1,0.9267578125
"410",54.844251,-111.432993,2,0.9267578125
"411",54.844251,-111.432993,3,0.9267578125
"412",54.844251,-111.432993,4,0.9267578125
"413",54.844251,-111.432993,5,0.9267578125
"414",54.844251,-111.432993,6,0.464237019833591
"415",54.844251,-111.432993,7,0.0257432725694444
"416",54.844251,-111.432993,8,0.0240824156337314
"417",54.844251,-111.432993,9,0.151885311326219
"418",54.844251,-111.432993,10,0.82129342854023
"419",54.844251,-111.432993,11,0.901014539930556
"420",54.844251,-111.432993,12,0.901014539930556
"421",54.850441,-111.460393,1,0.9267578125
"422",54.850441,-111.460393,2,0.9267578125
"423",54.850441,-111.460393,3,0.9267578125
"424",54.850441,-111.460393,4,0.9267578125
"425",54.850441,-111.460393,5,0.9267578125
"426",54.850441,-111.460393,6,0.464237019833591
"427",54.850441,-111.460393,7,0.0257432725694444
"428",54.850441,-111.460393,8,0.0240824156337314
"429",54.850441,-111.460393,9,0.151885311326219
"430",54.850441,-111.460393,10,0.82129342854023
"431",54.850441,-111.460393,11,0.901014539930556
"432",54.850441,-111.460393,12,0.901014539930556
"433",54.857489,-111.515821,1,0.9267578125
"434",54.857489,-111.515821,2,0.9267578125
"435",54.857489,-111.515821,3,0.9267578125
"436",54.857489,-111.515821,4,0.9267578125
"437",54.857489,-111.515821,5,0.9267578125
"438",54.857489,-111.515821,6,0.464237019833591
"439",54.857489,-111.515821,7,0.0257432725694444
"440",54.857489,-111.515821,8,0.0240824156337314
"441",54.857489,-111.515821,9,0.151885311326219
"442",54.857489,-111.515821,10,0.82129342854023
"443",54.857489,-111.515821,11,0.901014539930556
"444",54.857489,-111.515821,12,0.901014539930556
"445",54.856634,-111.487833,1,0.9267578125
