"","location","elevation","elev_units","coords.x1","coords.x2","optional"
"2517","1265-NW",1196,"meters",-116.084496,52.709812,TRUE
"2518","1292-NE",1559,"meters",-116.379936,52.525878,TRUE
"2519","1293-SE",1632,"meters",-116.083382,52.514469,TRUE
"2520","1322-SE",1626,"meters",-116.184082,52.360622,TRUE
"2521","1425-NE",1653,"meters",-115.188652,51.51881,TRUE
"2522","1427-SE",1307,"meters",-114.585999,51.468898,TRUE
"2523","1466-NE",1453,"meters",-115.772804,51.198032,TRUE
"2524","1467-SE",1524,"meters",-115.465797,51.19226,TRUE
"2525","154-SW",257,"meters",-110.185188,58.704395,TRUE
"2526","183-SW",277,"meters",-110.255699,58.498306,TRUE
"2527","210-NE",222,"meters",-110.99514,58.363522,TRUE
"2528","36-NW",231,"meters",-111.286217,59.510143,TRUE
"2529","416-SE",453,"meters",-112.114517,57.262726,TRUE
"2530","691-NE",585,"meters",-113.99424,55.805694,TRUE
"2531","6-NW",303,"meters",-110.768616,59.842426,TRUE
"2532","1210-SW",885,"meters",-114.774429,52.939247,TRUE
"2533","1265-NW",1196,"meters",-116.084496,52.709812,TRUE
"2534","1292-NE",1559,"meters",-116.379936,52.525878,TRUE
"2535","1293-SE",1632,"meters",-116.083382,52.514469,TRUE
"2536","1322-SE",1626,"meters",-116.184082,52.360622,TRUE
"2537","1425-NE",1653,"meters",-115.188652,51.51881,TRUE
"2538","1427-SE",1307,"meters",-114.585999,51.468898,TRUE
"2539","1466-NE",1453,"meters",-115.772804,51.198032,TRUE
"2540","1467-SE",1524,"meters",-115.465797,51.19226,TRUE
"2541","154-SW",257,"meters",-110.185188,58.704395,TRUE
"2542","183-SW",277,"meters",-110.255699,58.498306,TRUE
"2543","210-NE",222,"meters",-110.99514,58.363522,TRUE
"2544","36-NW",231,"meters",-111.286217,59.510143,TRUE
"2545","416-SE",453,"meters",-112.114517,57.262726,TRUE
"2546","691-NE",585,"meters",-113.99424,55.805694,TRUE
"2547","6-NW",303,"meters",-110.768616,59.842426,TRUE
"2548","1210-SW",885,"meters",-114.774429,52.939247,TRUE
"2549","1265-NW",1196,"meters",-116.084496,52.709812,TRUE
"2550","1292-NE",1559,"meters",-116.379936,52.525878,TRUE
"2551","1293-SE",1632,"meters",-116.083382,52.514469,TRUE
"2552","1322-SE",1626,"meters",-116.184082,52.360622,TRUE
"2553","1425-NE",1653,"meters",-115.188652,51.51881,TRUE
"2554","1427-SE",1307,"meters",-114.585999,51.468898,TRUE
"2555","1466-NE",1453,"meters",-115.772804,51.198032,TRUE
