system:index,Greenup_1,MidGreenup_1,Peak_1,datetime,google:max_source_file_timestamp,location,timestamp,year,.geo
2018_01_01_0000000000000000000e,17650.0,17669.0,17713.0,2018-01-01 00:00:00,1.595182911E12,557-NW,1.5147648E12,2019,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-116.37615801689141,56.70830610894062],[-116.37452932984172,56.70830610894062],[-116.37452932984172,56.70920582262822],[-116.37615801689141,56.70920582262822],[-116.37615801689141,56.70830610894062]]]}"
2018_01_01_00000000000000000011,17650.0,17669.0,17713.0,2018-01-01 00:00:00,1.595182911E12,557-NE,1.5147648E12,2019,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-116.37615801689141,56.70830610894062],[-116.37452932984172,56.70830610894062],[-116.37452932984172,56.70920582262822],[-116.37615801689141,56.70920582262822],[-116.37615801689141,56.70830610894062]]]}"
2018_01_01_00000000000000000015,17654.0,17669.64705882353,17707.41176470588,2018-01-01 00:00:00,1.595182911E12,898-SE,1.5147648E12,2019,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-119.30733339209117,54.895485330268656],[-119.30577881830246,54.895485330268656],[-119.30577881830246,54.89638504395612],[-119.30733339209117,54.89638504395612],[-119.30733339209117,54.895485330268656]]]}"
2018_01_01_00000000000000000016,17654.0,17669.64705882353,17707.41176470588,2018-01-01 00:00:00,1.595182911E12,898-SW,1.5147648E12,2019,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-119.30733339209117,54.895485330268656],[-119.30577881830246,54.895485330268656],[-119.30577881830246,54.89638504395612],[-119.30733339209117,54.89638504395612],[-119.30733339209117,54.895485330268656]]]}"
2018_01_01_0000000000000000000d,17657.0,17675.0,17714.0,2018-01-01 00:00:00,1.595182911E12,526-SE,1.5147648E12,2019,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-116.2501170180325,56.911070352042884],[-116.2484794957149,56.911070352042884],[-116.2484794957149,56.91197006573051],[-116.2501170180325,56.91197006573051],[-116.2501170180325,56.911070352042884]]]}"
2018_01_01_0000000000000000000f,17657.0,17675.0,17714.0,2018-01-01 00:00:00,1.595182911E12,526-SW,1.5147648E12,2019,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-116.2501170180325,56.911070352042884],[-116.2484794957149,56.911070352042884],[-116.2484794957149,56.91197006573051],[-116.2501170180325,56.91197006573051],[-116.2501170180325,56.911070352042884]]]}"
2018_01_01_00000000000000000002,17649.875,17671.875,17736.874999999996,2018-01-01 00:00:00,1.595182911E12,LPRETN-700-12,1.5147648E12,2020,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-116.3225279062022,52.717004887910974],[-116.32105207593783,52.717004887910974],[-116.32105207593783,52.7179046015983],[-116.3225279062022,52.7179046015983],[-116.3225279062022,52.717004887910974]]]}"
2018_01_01_00000000000000000028,17650.0,17676.0,17724.0,2018-01-01 00:00:00,1.595182911E12,161-SE,1.5147648E12,2021,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-117.8143477686566,59.191726635939176],[-117.81260226326575,59.191726635939176],[-117.81260226326575,59.192626349626984],[-117.8143477686566,59.192626349626984],[-117.8143477686566,59.191726635939176]]]}"
2018_01_01_00000000000000000003,17656.0,17672.0,17709.0,2018-01-01 00:00:00,1.595182911E12,S-E0-31-8,1.5147648E12,2021,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-115.56770835631623,57.84477043982595],[-115.56602860352511,57.84477043982595],[-115.56602860352511,57.845670153513666],[-115.56770835631623,57.845670153513666],[-115.56770835631623,57.84477043982595]]]}"
2018_01_01_00000000000000000036,17641.0,17664.0,17731.0,2018-01-01 00:00:00,1.595182911E12,250-SE,1.5147648E12,2021,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-117.9275867746738,58.663019942234264],[-117.92586779648907,58.663019942234264],[-117.92586779648907,58.66391965592203],[-117.9275867746738,58.66391965592203],[-117.9275867746738,58.663019942234264]]]}"
2018_01_01_00000000000000000022,17656.944444444445,17677.555555555555,17735.05555555556,2018-01-01 00:00:00,1.595182911E12,221-NW,1.5147648E12,2021,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-117.54066836086895,58.753954390017164],[-117.53894488813876,58.753954390017164],[-117.53894488813876,58.75485410370494],[-117.54066836086895,58.75485410370494],[-117.54066836086895,58.753954390017164]]]}"
2018_01_01_0000000000000000002c,17653.0,17678.0,17737.0,2018-01-01 00:00:00,1.595182911E12,281-NW,1.5147648E12,2021,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-117.60908518309344,58.42367769319057],[-117.60737790296056,58.42367769319057],[-117.60737790296056,58.42457740687832],[-117.60908518309344,58.42457740687832],[-117.60908518309344,58.42367769319057]]]}"
2018_01_01_0000000000000000002e,17653.0,17678.0,17737.0,2018-01-01 00:00:00,1.595182911E12,281-NE,1.5147648E12,2021,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-117.60908518309344,58.42367769319057],[-117.60737790296056,58.42367769319057],[-117.60737790296056,58.42457740687832],[-117.60908518309344,58.42457740687832],[-117.60908518309344,58.42367769319057]]]}"
2018_01_01_00000000000000000006,17657.0,17673.0,17752.0,2018-01-01 00:00:00,1.595182911E12,WLNP-16-5,1.5147648E12,2021,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-114.02672207131847,49.07311222995523],[-114.02535740538063,49.07311222995523],[-114.02535740538063,49.07401194364233],[-114.02672207131847,49.07401194364233],[-114.02672207131847,49.07311222995523]]]}"
2018_01_01_0000000000000000002a,17649.0,17667.0,17711.0,2018-01-01 00:00:00,1.595182911E12,279-NW,1.5147648E12,2021,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-118.30910227673989,58.450744436584976],[-118.30739368318072,58.450744436584976],[-118.30739368318072,58.45164415027273],[-118.30910227673989,58.45164415027273],[-118.30910227673989,58.450744436584976]]]}"
2018_01_01_0000000000000000001e,17649.736842105263,17672.736842105263,17729.0,2018-01-01 00:00:00,1.595182911E12,191-NW,1.5147648E12,2021,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-117.48215187569154,58.94490647442886],[-117.4804188737314,58.94490647442886],[-117.4804188737314,58.945806188116656],[-117.48215187569154,58.945806188116656],[-117.48215187569154,58.94490647442886]]]}"
2018_01_01_0000000000000000002b,17649.736842105263,17672.736842105263,17729.0,2018-01-01 00:00:00,1.595182911E12,191-NE,1.5147648E12,2021,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-117.48215187569154,58.94490647442886],[-117.4804188737314,58.94490647442886],[-117.4804188737314,58.945806188116656],[-117.48215187569154,58.945806188116656],[-117.48215187569154,58.94490647442886]]]}"
2018_01_01_00000000000000000027,17557.0,17670.0,17711.0,2018-01-01 00:00:00,1.595182911E12,1264-NW,1.5147648E12,2021,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-116.38466992432433,52.716166576912926],[-116.3831941224224,52.716166576912926],[-116.3831941224224,52.71706629060025],[-116.38466992432433,52.71706629060025],[-116.38466992432433,52.716166576912926]]]}"
2018_01_01_00000000000000000032,17674.0,17696.0,17730.0,2018-01-01 00:00:00,1.595182911E12,1082-SW,1.5147648E12,2021,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-113.99553882319492,53.58790745555838],[-113.99403275043657,53.58790745555838],[-113.99403275043657,53.58880716924576],[-113.99553882319492,53.58880716924576],[-113.99553882319492,53.58790745555838]]]}"
2018_01_01_00000000000000000034,17674.0,17696.0,17730.0,2018-01-01 00:00:00,1.595182911E12,1082-NW,1.5147648E12,2021,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-113.99553882319492,53.58790745555838],[-113.99403275043657,53.58790745555838],[-113.99403275043657,53.58880716924576],[-113.99553882319492,53.58880716924576],[-113.99553882319492,53.58790745555838]]]}"
2018_01_01_00000000000000000007,17641.0,17671.0,17710.0,2018-01-01 00:00:00,1.595182911E12,CHPP-WP-2,1.5147648E12,2021,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-110.2980699738215,49.6522736520799],[-110.29668913924577,49.6522736520799],[-110.29668913924577,49.65317336576704],[-110.2980699738215,49.65317336576704],[-110.2980699738215,49.6522736520799]]]}"
